datetime,open,high,low,close,tick_volume,real_volume,spread
2020.01.02 00:00:00,1.121220,1.121650,1.120810,1.121460,6061,0,50
2020.01.02 01:00:00,1.121460,1.122180,1.121400,1.121880,2701,0,50
2020.01.02 02:00:00,1.121880,1.121910,1.121570,1.121830,1603,0,50
2020.01.02 03:00:00,1.121830,1.122450,1.121800,1.122100,2740,0,50
2020.01.02 04:00:00,1.122090,1.122460,1.121830,1.122230,1732,0,50
2020.01.02 05:00:00,1.122240,1.122320,1.121240,1.121330,2183,0,50
2020.01.02 06:00:00,1.121330,1.121450,1.120090,1.120110,2796,0,50
2020.01.02 07:00:00,1.120120,1.120440,1.120090,1.120440,2540,0,50
2020.01.02 08:00:00,1.120440,1.120770,1.120370,1.120740,2750,0,50
2020.01.02 09:00:00,1.120750,1.121020,1.120430,1.120990,6732,0,50
2020.01.02 10:00:00,1.120990,1.121380,1.120510,1.121200,7706,0,50
2020.01.02 11:00:00,1.121200,1.121400,1.120120,1.120300,5904,0,50
2020.01.02 12:00:00,1.120310,1.120390,1.119280,1.119830,5374,0,50
2020.01.02 13:00:00,1.119830,1.120220,1.118420,1.118480,6827,0,50
2020.01.02 14:00:00,1.118470,1.119430,1.118300,1.119290,5865,0,50
2020.01.02 15:00:00,1.119290,1.119710,1.118960,1.119630,7183,0,50
2020.01.02 16:00:00,1.119620,1.119650,1.117010,1.117400,10921,0,50
2020.01.02 17:00:00,1.117400,1.120240,1.117090,1.120060,13660,0,50
2020.01.02 18:00:00,1.120060,1.120310,1.116520,1.116630,12244,0,50
2020.01.02 19:00:00,1.116640,1.117190,1.116350,1.116990,6759,0,50
2020.01.02 20:00:00,1.117000,1.117230,1.116370,1.117020,6060,0,50
2020.01.02 21:00:00,1.117030,1.117040,1.116430,1.116630,5026,0,50
2020.01.02 22:00:00,1.116620,1.117170,1.116590,1.116930,3990,0,50
2020.01.02 23:00:00,1.116920,1.117340,1.116900,1.117250,1396,0,50
2020.01.03 00:00:00,1.117190,1.117280,1.116900,1.117140,1197,0,50
2020.01.03 01:00:00,1.117130,1.117350,1.117030,1.117090,1006,0,50
2020.01.03 02:00:00,1.117100,1.117600,1.116970,1.117550,1601,0,50
2020.01.03 03:00:00,1.117540,1.117850,1.117230,1.117360,3089,0,50
2020.01.03 04:00:00,1.117360,1.117750,1.117180,1.117260,5318,0,50
2020.01.03 05:00:00,1.117270,1.117370,1.116960,1.117210,3291,0,50
2020.01.03 06:00:00,1.117220,1.117500,1.116860,1.117010,2250,0,50
2020.01.03 07:00:00,1.117000,1.117060,1.116440,1.116640,3688,0,50
2020.01.03 08:00:00,1.116640,1.116960,1.116400,1.116920,3026,0,50
2020.01.03 09:00:00,1.116910,1.117150,1.115210,1.115320,11760,0,50
2020.01.03 10:00:00,1.115330,1.116060,1.115070,1.115120,9861,0,50
2020.01.03 11:00:00,1.115120,1.115230,1.114010,1.114020,8380,0,50
2020.01.03 12:00:00,1.114020,1.114350,1.113070,1.113610,9543,0,50
2020.01.03 13:00:00,1.113620,1.113620,1.112500,1.113000,7901,0,50
2020.01.03 14:00:00,1.113000,1.114270,1.112820,1.113920,6569,0,50
2020.01.03 15:00:00,1.113920,1.114880,1.113730,1.113810,7122,0,50
2020.01.03 16:00:00,1.113800,1.115410,1.113530,1.115230,8659,0,50
2020.01.03 17:00:00,1.115220,1.116750,1.115220,1.116350,14732,0,50
2020.01.03 18:00:00,1.116340,1.117990,1.116250,1.117200,9182,0,50
2020.01.03 19:00:00,1.117200,1.117410,1.116790,1.117210,5444,0,50
2020.01.03 20:00:00,1.117200,1.117330,1.116590,1.116670,7263,0,50
2020.01.03 21:00:00,1.116660,1.116820,1.116130,1.116740,7096,0,50
2020.01.03 22:00:00,1.116730,1.116740,1.116010,1.116150,3267,0,50
2020.01.03 23:00:00,1.116140,1.116210,1.115220,1.115580,2184,0,50
2020.01.06 00:00:00,1.116380,1.116650,1.115850,1.115960,976,0,50
2020.01.06 01:00:00,1.115960,1.116780,1.115930,1.116050,4957,0,50
2020.01.06 02:00:00,1.116030,1.116840,1.116010,1.116360,4250,0,50
2020.01.06 03:00:00,1.116350,1.116550,1.116130,1.116280,3275,0,50
2020.01.06 04:00:00,1.116290,1.116710,1.116240,1.116540,2001,0,50
2020.01.06 05:00:00,1.116540,1.117100,1.116540,1.116590,2857,0,50
2020.01.06 06:00:00,1.116600,1.116620,1.116160,1.116430,2446,0,50
2020.01.06 07:00:00,1.116430,1.116510,1.116060,1.116240,1543,0,50
2020.01.06 08:00:00,1.116250,1.116250,1.115720,1.116080,3170,0,50
2020.01.06 09:00:00,1.116060,1.116680,1.115970,1.116460,7220,0,50
2020.01.06 10:00:00,1.116450,1.117990,1.116320,1.117860,8911,0,50
2020.01.06 11:00:00,1.117870,1.119370,1.117520,1.119330,8194,0,50
2020.01.06 12:00:00,1.119320,1.119970,1.118990,1.119640,6765,0,50
2020.01.06 13:00:00,1.119650,1.120550,1.119620,1.120330,7108,0,50
2020.01.06 14:00:00,1.120330,1.120430,1.119520,1.119810,4592,0,50
2020.01.06 15:00:00,1.119820,1.120330,1.119120,1.119770,6807,0,50
2020.01.06 16:00:00,1.119760,1.120020,1.118260,1.118320,7048,0,50
2020.01.06 17:00:00,1.118330,1.119020,1.118220,1.118870,8845,0,50
2020.01.06 18:00:00,1.118870,1.118970,1.118100,1.118730,5991,0,50
2020.01.06 19:00:00,1.118720,1.119610,1.118420,1.119500,4392,0,50
2020.01.06 20:00:00,1.119510,1.119800,1.119180,1.119190,3260,0,50
2020.01.06 21:00:00,1.119190,1.119300,1.118800,1.119130,3120,0,50
2020.01.06 22:00:00,1.119140,1.119390,1.118900,1.119360,3129,0,50
2020.01.06 23:00:00,1.119350,1.119910,1.119290,1.119690,1098,0,50
2020.01.07 00:00:00,1.119310,1.119620,1.119190,1.119550,1735,0,50
2020.01.07 01:00:00,1.119530,1.119750,1.119410,1.119540,1874,0,50
2020.01.07 02:00:00,1.119540,1.119560,1.118920,1.118980,2383,0,50
2020.01.07 03:00:00,1.118980,1.119710,1.118960,1.119350,2423,0,50
2020.01.07 04:00:00,1.119340,1.119340,1.119100,1.119150,949,0,50
2020.01.07 05:00:00,1.119150,1.119450,1.119120,1.119230,1559,0,50
2020.01.07 06:00:00,1.119230,1.119350,1.119060,1.119100,1417,0,50
2020.01.07 07:00:00,1.119100,1.119250,1.118280,1.118300,2140,0,50
2020.01.07 08:00:00,1.118310,1.118970,1.118090,1.118170,6722,0,50
2020.01.07 09:00:00,1.118150,1.118540,1.117290,1.117410,8976,0,50
2020.01.07 10:00:00,1.117400,1.118760,1.117250,1.118470,9824,0,50
2020.01.07 11:00:00,1.118470,1.118960,1.118050,1.118460,7278,0,50
2020.01.07 12:00:00,1.118440,1.118610,1.116490,1.117620,9667,0,50
2020.01.07 13:00:00,1.117630,1.118500,1.117220,1.118170,6627,0,50
2020.01.07 14:00:00,1.118170,1.118330,1.117080,1.117470,6554,0,50
2020.01.07 15:00:00,1.117470,1.117800,1.115470,1.115610,11078,0,50
2020.01.07 16:00:00,1.115600,1.116230,1.114650,1.114760,9444,0,50
2020.01.07 17:00:00,1.114760,1.115180,1.113430,1.114170,13311,0,50
2020.01.07 18:00:00,1.114170,1.114400,1.113360,1.113700,6638,0,50
2020.01.07 19:00:00,1.113700,1.114740,1.113680,1.114250,5106,0,50
2020.01.07 20:00:00,1.114240,1.114960,1.114140,1.114350,3441,0,50
2020.01.07 21:00:00,1.114350,1.114500,1.114170,1.114460,4282,0,50
2020.01.07 22:00:00,1.114460,1.114770,1.114240,1.114380,2761,0,50
2020.01.07 23:00:00,1.114380,1.115220,1.114380,1.115180,2806,0,50
2020.01.08 00:00:00,1.115170,1.115210,1.114420,1.114760,3813,0,50
2020.01.08 01:00:00,1.114750,1.115440,1.114680,1.115410,5926,0,50
2020.01.08 02:00:00,1.115400,1.116830,1.115270,1.115870,15525,0,50
2020.01.08 03:00:00,1.115880,1.116320,1.115490,1.115570,10894,0,50
2020.01.08 04:00:00,1.115580,1.116130,1.115320,1.115870,10229,0,50
2020.01.08 05:00:00,1.115870,1.115920,1.115360,1.115470,4715,0,50
2020.01.08 06:00:00,1.115470,1.115600,1.114510,1.114780,3342,0,50
2020.01.08 07:00:00,1.114790,1.115140,1.114740,1.114910,2894,0,50
2020.01.08 08:00:00,1.114910,1.115400,1.114850,1.115010,4009,0,50
2020.01.08 09:00:00,1.115010,1.115490,1.114320,1.115130,12189,0,50
2020.01.08 10:00:00,1.115140,1.115330,1.113020,1.113500,16928,0,50
2020.01.08 11:00:00,1.113500,1.114490,1.112530,1.113830,8665,0,50
2020.01.08 12:00:00,1.113840,1.113860,1.112540,1.112740,8968,0,50
2020.01.08 13:00:00,1.112730,1.113110,1.111970,1.112720,8514,0,50
2020.01.08 14:00:00,1.112720,1.113080,1.111390,1.111670,8332,0,50
2020.01.08 15:00:00,1.111660,1.112240,1.111110,1.112000,10657,0,50
2020.01.08 16:00:00,1.112000,1.112690,1.111760,1.112460,7550,0,50
2020.01.08 17:00:00,1.112450,1.113080,1.111530,1.111980,9346,0,50
2020.01.08 18:00:00,1.111970,1.112020,1.110860,1.111650,12686,0,50
2020.01.08 19:00:00,1.111640,1.112600,1.111320,1.111800,10569,0,50
2020.01.08 20:00:00,1.111790,1.111800,1.111040,1.111320,5269,0,50
2020.01.08 21:00:00,1.111310,1.111420,1.110820,1.111130,3555,0,50
2020.01.08 22:00:00,1.111120,1.111480,1.110980,1.111190,5185,0,50
2020.01.08 23:00:00,1.111200,1.111280,1.110170,1.110400,2583,0,50
2020.01.09 00:00:00,1.110340,1.111430,1.110290,1.110960,1493,0,50
2020.01.09 01:00:00,1.110950,1.111310,1.110710,1.111300,1102,0,50
2020.01.09 02:00:00,1.111300,1.111590,1.110930,1.111350,4083,0,50
2020.01.09 03:00:00,1.111340,1.111940,1.111120,1.111740,3137,0,50
2020.01.09 04:00:00,1.111740,1.111900,1.111460,1.111530,1856,0,50
2020.01.09 05:00:00,1.111520,1.111790,1.111420,1.111540,1325,0,50
2020.01.09 06:00:00,1.111540,1.111590,1.111260,1.111550,1265,0,50
2020.01.09 07:00:00,1.111550,1.111900,1.111510,1.111830,1674,0,50
